facebook.com, 157.240.19.35, 157.240.28.35
youtube.com, 172.217.2.14, 172.217.12.14
yahoo.com, 98.138.219.232, 98.137.246.8
live.com, 204.79.197.212, 204.79.197.212
wikipedia.org, 208.80.153.224, 208.80.153.224
msn.com, 13.82.28.61, 13.82.28.61
baidu.com, 39.156.69.79, 220.181.38.148
blogspot.com, 172.217.2.9, 172.217.12.9
microsoft.com, 40.112.72.205, 13.77.161.179
qq.com, 58.250.137.36, 58.247.214.47
taobao.com, 140.205.220.96, 140.205.220.96
bing.com, 204.79.197.200, 204.79.197.200
sina.com.cn, 123.126.157.222, 123.126.157.222
soso.com, 118.191.216.57, 118.191.216.57
163.com, 123.58.180.7, 123.58.180.7
ask.com, 151.101.70.114, 151.101.70.114
adobe.com, 193.104.215.58, 192.147.130.204
twitter.com, 104.244.42.65, 104.244.42.193
mozilla.com, 63.245.208.194, 63.245.208.194
youku.com, 106.11.47.20, 106.11.47.20
sdjjdsaf.com, 106.11.47.20, 106.11.47.20
andysayler.com, 138.197.228.157, 138.197.228.157
wmfo.org, 23.92.21.128, 23.92.21.128
